;x D1;x Harissons D1 NGD;x Harissons D1 AGD;y D1;y Harissons D1 NGD;y Harissons D1 AGD
2,91;;8,379719700944525;7,781534911297692;;0,5226053398293684;0,46820274911477006
2,92;;8,435816714452839;7,830819446921389;;0,5210627729645447;0,46709024016671574
2,93;;8,49203414579767;7,880270290971033;;0,5195274077620601;0,46599740512329235
2,94;;8,548368411318233;7,929886160320055;;0,5179991362232059;0,46492411506504955
2,9499999999999997;;8,604815896148473;7,979665748989921;;0,5164778527463665;0,4638702411954951
2,96;;8,661372955111814;8,029607728205896;;0,51496345408658;0,4628356548221644
2,97;;8,71803591363218;8,079710746458817;;0,5134558393151863;0,4618202273376005
2,98;;8,77480106866097;8,129973429573036;;0,5119549097795835;0,46082383020024215
2,9899999999999998;;8,831664689619373;8,180394380780458;;0,5104605690631189;0,459846334915223
3,0;;8,88862301935568;8,23097218080078;;0,5089727229451375;0,45888761301507996
3,01;;8,945672275117017;8,28170538792788;;0,5074912793612074;0,45794753604037436
3,02;;9,002808649535094;8,332592538122492;;0,5060161483635455;0,4570259755202232
3,0300000000000002;;9,060028311625377;8,383632145111084;;0,5045472420816633;0,45612280295274416
3,04;;9,117327407799213;8,434822700491026;;0,5030844746832533;0,45523788978541335
3,05;;9,174702062888356;8,486162673842026;;0,5016277623353324;0,45437110739533815
3,06;;9,232148381181345;8,537650512843893;;0,5001770231656631;0,4535223270694453
3,0700000000000003;;9,289662447471194;8,58928464340059;;0,49873217722446894;0,4526914199845861
3,08;;9,347240328113813;8,641063469770629;;0,4972931464464596;0,4518782571875597
3,09;;9,404878072096574;8,692985374703781;;0,49585985461318294;0,45108270957505564
3,1;;9,462571712116468;8,745048719584139;;0,49443222731571745;0,4503046478735184
3,11;;9,520317265667208;8,797251844579497;;0,4930101919177205;0,4495439426189342
3,1199999999999997;;9,57811073613472;8,84959306879708;;0,49159367751884475;0,4488004641365427
3,1300000000000003;;9,635948113900396;8,902070690445603;;0,49018261491853543;0,44807408252047515
3,1399999999999997;;9,693825377451418;8,954682987003618;;0,48877693658022137;0,4473646676133221
3,15;;9,751738494497685;9,007428215394242;;0,48737657659590855;0,4466720889856301
3,16;;9,809683423094505;9,060304612166089;;0,48598147065118924;0,4459962159153338
3,17;;9,867656112770591;9,113310393680568;;0,48459155599067366;0,44533691736712194
3,18;;9,925652505660594;9,166443756305386;;0,48320677138385504;0,44469406197174266
3,19;;9,983668537641584;9,219702876614308;;0,4818270570914146;0,4440675180052489
3,2;;10,041700139472804;9,273085911593121;;0,48045235483197535;0,44345715336818825
3,2099999999999995;;10,099743237938025;9,326590998851783;;0,47908260774931;0,4428628355647393
3,2199999999999998;;10,157793756989879;9,380216256842724;;0,4777177603800098;0,44228443168179776
3,2300000000000004;;10,215847618895472;9,433959785085237;;0,47635775862162033;0,44172180836801633
3,2399999999999998;;10,27390074538258;9,48781966439596;;0,47500254970124844;0,441174831812801
3,25;9,594;10,331949058785922;9,541793957125423;0,416666667;0,473652082144642;0,4406433677252671
3,26;;10,389988483192566;9,595880707400486;;0,4723063057457524;0,44012728131316053
3,27;;10,448014945586092;9,650077941372825;;0,4709651715367759;0,4396264372617461
3,2800000000000002;;10,50602437698865;9,70438366747323;;0,4696286317586805;0,43914069971266817
3,29;;10,564012713600334;9,758795876671764;;0,4682966398322188;0,43866993224278744
3,3000000000000003;;10,621975897935197;9,813312542743686;;0,4669691503294281;0,4382139978429987
3,3099999999999996;;10,679909879953234;9,867931622541095;;0,4656461189456194;0,4377727588970335
3,32;;10,737810618187718;9,922651056270233;;0,46432750247185484;0,43734607716025276
3,3300000000000005;;10,795674080867153;9,977468767774319;;0,4630132587679143;0,4369338137384345
3,34;;10,853496247031325;10,032382664821963;;0,46170334673575003;0,4365358290665614
3,35;;10,911273107640726;10,087390639400985;;0,4603977262934278;0,43615198288761303
3,36;;10,969000666678697;10,142490568017584;;0,4590963583495554;0,4357821342313693
3,37;;11,026674942245753;10,197680312000811;;0,4577992047781945;0,4354261413932297
3,38;;11,084291967645399;10,252957717812237;;0,4565062283942542;0,43508386191305437
3,39;;11,141847792460855;10,308320617360732;;0,45521739292936514;0,43475515255403313
3,4000000000000004;;11,199338483622082;10,363766828322277;;0,4539326630082294;0,43443986928158845
3,4099999999999997;;11,25676012646251;10,419294154464696;;0,4526520041254452;0,4341378672423188
3,42;;11,31410882576493;10,474900385977287;;0,4513753826227999;0,43384900074298804
3,4299999999999997;;11,371380706795867;10,53058329980509;;0,45010276566703245;0,4335731232295693
3,44;;11,428571916328037;10,586340659987933;;0,4488341212280552;0,43331008726634807
3,45;;11,485678623650161;10,642170218003905;;0,4475694180576369;0,4330597445150929
3,46;;11,542697021563749;10,698069713117361;;0,44630862566853735;0,4328219457143007
3,47;;11,599623327366237;10,7540368727312;;0,445051714314093;0,4325965406585239
3,4799999999999995;;11,656453783819979;10,81006941274339;;0,443798654968246;0,4323833781777862
3,49;;11,713184660106647;10,866165037907614;;0,44254941930601227;0,432182306117097
3,5000000000000004;;11,769812252766446;10,922321442197868;;0,4413039796843852;0,4319931713160694
3,51;;11,826332886621806;10,978536309176981;;0,44006230912366656;0,4318158195886524
3,52;;11,882742915685023;11,03480731236892;;0,43882438128922074;0,43165009570298424
3,53;;11,93903872404933;11,091132115634622;;0,43759017047364823;0,43149584336137625
3,54;;11,99521672676317;11,14750837355146;;0,4363596515793684;0,43135290518043473
3,55;;12,05127337068705;11,203933731796036;;0,4351328001016101;0,43122112267133106
3,56;;12,107205135332729;11,260405827530244;;0,4339095921118014;0,4311003362202281
3,5700000000000003;;12,16300853368428;11,316922289790464;;0,43269000424135345;0,43099038506887266
3,58;;12,218680113000701;11,373480739879755;;0,43147401366583205;0,4308911072953632
3,5900000000000003;;12,274216455599708;11,430078791762906;;0,43026159808951064;0,43080233979510224
3,5999999999999996;;12,329614179622405;11,486714052464222;;0,42905273573029923;0,43072391826194384
3,61;;12,384869939778508;11,543384122467916;;0,42784740530504134;0,43065567716954495
3,62;;12,439980428071788;11,6000865961209;;0,42664558601517527;0,4305974497529322
3,63;;12,49494237450556;11,656819062037954;;0,42544725753275026;0,430549067990293
3,64;;12,549752547767845;11,713579103509032;;0,4242523999867936;0,4305103625850028
3,65;;12,604407755896023;11,770364298908593;;0,42306099395002145;0,43048116294789746
3,66;;12,658904846920754;11,827172222106823;;0,4218730204258868;0,4304612971798032
3,6700000000000004;;12,713240709488941;11,884000442882598;;0,42068846083595857;0,4304505920543341
3,6799999999999997;;12,767412273465546;11,940846527338024;;0,419507297007626;0,43044887300096857
3,6900000000000004;;12,821416510514144;11,99770803831446;;0,41832951116211964;0,4304559640884154
3,6999999999999997;;12,875250434655918;12,054582535809738;;0,41715508590284756;0,43047168800828234
3,71;;12,9289111028072;12,11146757739669;;0,4159840042040337;0,43049586605905704
3,7199999999999998;;12,982395615295152;12,168360718642491;;0,41481624939965955;0,4305283181304129
3,73;;13,035701116351769;12,225259513529002;;0,4136518051726964;0,43056886268785216
3,74;;13,088824794585872;12,28216151487368;;0,4124906555446268;0,4306173167576969
3,75;10,5;13,141763883433242;12,339064274751133;0,583333333;0,4113327848652464;0,43067349591244136
3,7600000000000002;;13,194515661584685;12,395965344914998;;0,4101781778027412;0,4307372142564772
3,7699999999999996;;13,247077453392086;12,452862277220088;;0,40902681933403473;0,4308082844122039
3,7800000000000002;;13,299446629252442;12,509752624044626;;0,4078786947353975;0,4308865175065374
3,7900000000000005;;13,351620605969782;12,56663393871237;;0,4067337895733154;0,43097172315782906
3,8;;13,403596847095143;12,623503775914573;;0,4055920896956089;0,43106370946320793
3,81;;13,455372863244532;12,680359692131569;;0,40445358122279834;0,431162282986359
3,82;;13,50694621239493;12,737199246053782;;0,4033182505397107;0,4312672487457504
3,83;;13,558314500158467;12,794019999002103;;0,40218608428732044;0,43137841020332257
3,84;;13,609475380034805;12,850819515347435;;0,4010570693548202;0,4314955692536525
3,85;;13,660426553641846;12,90759536292925;;0,39993119287191525;0,43161852621360625
3,8600000000000003;;13,711165770924868;12,96434511347302;;0,3988084422013374;0,4317470798124927
3,8699999999999997;;13,761690830344225;13,021066343006371;;0,3976888049315718;0,43188102718273225
