;x D1;x Harissons AD NGD;x Harissons D1 AGD;y D1;y Harissons AD NGD;y Harissons D1 AGD
3,01;;6,492009460134538;6,0231646652062345;;0,833515529921829;0,7416847363807897
3,02;;6,510144574598744;6,037227976468819;;0,82956887375092;0,7391610281922613
3,0300000000000002;;6,52815835428244;6,051187588207491;;0,8256385055477712;0,736642456997897
3,04;;6,546050655925621;6,065043642383256;;0,8217243865411475;0,7341289770429519
3,05;;6,563821356631876;6,078796293821357;;0,8178264776650203;0,7316205436008263
3,06;;6,581470353624711;6,092445709984398;;0,8139447395654573;0,7291171129624433
3,0700000000000003;;6,598997563999813;6,105992070744868;;0,8100791326074197;0,7266186424256131
3,08;;6,616402924473459;6,1194355681572015;;0,8062296168814665;0,7241250902843857
3,09;;6,633686391127296;6,132776406229496;;0,8023961522103674;0,7216364158183938
3,1;;6,650847939149693;6,146014800695007;;0,7985786981556251;0,7191525792821891
3,11;;6,667887562573869;6,159150978783544;;0,794777214023909;0,7166735418945716
3,1199999999999997;;6,6848052740130095;6,172185178992877;;0,7909916588734004;0,7141992658279156
3,1300000000000003;;6,70160110439258;6,185117650860276;;0,7872219915200493;0,711729714197493
3,1399999999999997;;6,718275102680016;6,197948654734278;;0,783468170543749;0,7092648510507981
3,15;;6,734827335612023;6,210678461546813;;0,7797301542944189;0,7068046413568697
3,16;;6,751257887419635;6,223307352585773;;0,7760079008980116;0,7043490509956228
3,17;;6,767566859551279;6,235835619268133;;0,7723013682624292;0,7018980467471791
3,18;;6,7837543703939795;6,248263562913727;;0,7686105140833623;0,6994515962812086
3,19;;6,799820554992941;6,260591494519775;;0,7649352958500463;0,697009668146278
3,2;;6,815765564769653;6,272819734536245;;0,7612756708509376;0,6945722317592108
3,2099999999999995;;6,8315895672387175;6,284948612642154;;0,7576315961793113;0,6921392573944589
3,2199999999999998;;6,847292745723579;6,296978467522887;;0,754003028738779;0,6897107161734879
3,2300000000000004;;6,862875299071316;6,308909646648629;;0,7503899252487316;0,6872865800541788
3,2399999999999998;;6,878337441366664;6,320742506053964;;0,7467922422497055;0,6848668218202486
3,25;9,594;6,893679401645482;6,3324774101187735;0,416666667;0,743209936108669;0,6824514150706852
3,26;;6,908901423607736;6,344114731350449;;0,7396429630242418;0,6800403342092101
3,27;;6,924003765330261;6,355654850167544;;0,7360912790318339;0,6776335544337576
3,2800000000000002;;6,938986698979383;6,367098154684902;;0,7325548400087156;0,675231051725982
3,29;;6,9538505105235835;6,378445040500346;;0,7290336016790145;0,6728328028407884
3,3000000000000003;;6,96859549944636;6,389695910482995;;0,7255275196186415;0,6704387852958927
3,3099999999999996;;6,983221978459412;6,400851174563258;;0,7220365492601466;0,6680489773614094
3,32;;6,9977302732163;6,411911249524581;;0,718560645897505;0,6656633580494702
3,3300000000000005;;7,01212072202672;6,422876558796997;;0,7150997646908365;0,6632819071038755
3,34;;7,026393675571522;6,433747532252526;;0,711653860671055;0,6609046049897793
3,35;;7,0405494966186035;6,444524606002503;;0,7082228887444513;0,6585314328834082
3,36;;7,054588559739799;6,455208222196847;;0,7048068036972124;0,656162372661819
3,37;;7,068511251028899;6,465798828825356;;0,7014055601998727;0,6537974068926926
3,38;;7,0823179678209;6,4762968795210405;;0,6980191128117019;0,6514365188241692
3,39;;7,096009118412621;6,486702833365561;;0,6946474159850301;0,6490796923747227
3,4000000000000004;;7,10958512178478;6,4970171546968025;;0,6912904240695075;0,6467269121230792
3,4099999999999997;;7,1230464073256385;6,507240312918614;;0,6879480913163061;0,6443781632981779
3,42;;7,136393414556337;6,517372782312767;;0,6846203718822536;0,6420334317691767
3,4299999999999997;;7,149626592857977;6,527415041853143;;0,6813072198339154;0,6396927040355069
3,44;;7,162746401200612;6,537367575022209;;0,678008589151608;0,6373559672169714
3,45;;7,175753307874157;6,547230869629778;;0,6747244337333594;0,6350232090438954
3,46;;7,188647790221389;6,557005417634113;;0,6714547073988077;0,6326944178473252
3,47;;7,201430334373054;6,566691714965372;;0,6681993638930435;0,630369582549278
3,4799999999999995;;7,214101434985197;6,5762902613514305;;0,6649583568903946;0,6280486926530461
3,49;;7,22666159497879;6,5858015601461055;;0,6617316399981544;0,6257317382335521
3,5000000000000004;;7,23911132528172;6,595226118159781;;0,6585191667602561;0,6234187099277615
3,51;;7,251451144573213;6,60456444549247;;0,6553208906608898;0,6211095989251486
3,52;;7,26368157903077;6,613817055369333;;0,6521367651280648;0,6188043969582196
3,53;;7,275803162079653;6,622984463978627;;0,648966743537123;0,6165030962930962
3,54;;7,2878164341450145;6,632067190312145;;0,6458107792141932;0,6142056897201537
3,55;;7,299721942406701;6,641065756008129;;0,6426688254395969;0,6119121705447224
3,56;;7,311520240556794;6,649980685196661;;0,639540835451202;0,6096225325778478
3,5700000000000003;;7,323211888559939;6,658812504347555;;0,6364267624477238;0,6073367701271132
3,58;;7,334797452416512;6,667561742120735;;0,6333265595919776;0,6050548779875243
3,5900000000000003;;7,346277503928658;6,67622892921912;;0,6302401800140801;0,6027768514324577
3,5999999999999996;;7,3576526204692465;6,68481459824401;;0,6271675768146027;0,600502686204673
3,61;;7,368923384753803;6,6933192835529605;;0,624108703067674;0,5982323785073893
3,62;;7,380090384615402;6,701743521120164;;0,6210635118240388;0,5959659249954301
3,63;;7,391154212782618;6,710087848399332;;0,6180319561140646;0,5937033227664305
3,64;;7,402115466660509;6,7183528041890535;;0,6150139889507041;0,5914445693521146
3,65;;7,412974748114683;6,726538928500658;;0,612009563332412;0,5891896627096402
3,66;;7,423732663258487;6,734646762428541;;0,6090186322460137;0,5869386012130108
3,6700000000000004;;7,4343898222433;6,742676848022972;;0,6060411486695312;0,5846913836445574
3,6799999999999997;;7,4449468390519895;6,750629728165355;;0,6030770655749648;0,5824480091864912
3,6900000000000004;;7,455404331295532;6,7585059464459585;;0,6001263359310259;0,5802084774125226
3,6999999999999997;;7,465762920012786;6,766306047044062;;0,5971889127058362;0,577972788279558
3,71;;7,476023229473499;6,77403057461056;;0,5942647488695716;0,5757409421194588
3,7199999999999998;;7,486185886984469;6,781680074152955;;0,591353797397075;0,5735129396308809
3,73;;7,496251522698938;6,7892550909227705;;0,5884560112704201;0,5712887818711795
3,74;;7,506220769429196;6,796756170305344;;0,5855713434814371;0,5690684702483919
3,75;10,5;7,516094262462389;6,804183857711991;0,583333333;0,5826997470341964;0,5668520065132895
3,7600000000000002;;7,52587263937956;6,811538698474528;;0,5798411749474527;0,5646393927515055
3,7699999999999996;;7,535556539877884;6,818821237742123;;0,5769955802570491;0,5624306313757357
3,7800000000000002;;7,545146605596151;6,82603202038048;;0,5741629160182817;0,5602257251180126
3,7900000000000005;;7,554643479943414;6,833171590873306;;0,5713431353082262;0,558024677022056
3,8;;7,56404780793088;6,840240493226072;;0,5685361912280251;0,555827490435697
3,81;;7,573360236006977;6,847239270872031;;0,5657420369051378;0,5536341690033757
3,82;;7,582581411895608;6,854168466580469;;0,5629606254955535;0,5514447166587172
3,83;;7,591711984437586;6,861028622367186;;0,5601919101859667;0,5492591376171806
3,84;;7,600752603435227;6,867820279407165;;0,5574358441959171;0,5470774363687848
3,85;;7,609703919500094;6,874543977949417;;0,5546923807798926;0,5448996176709092
3,8600000000000003;;7,618566583903877;6,881200257233977;;0,5519614732293974;0,5427256865411714
3,8699999999999997;;7,627341248432382;6,88778965541103;;0,5492430748749854;0,5405556482503802
3,88;;7,636028565242628;6,894312709462147;;0,5465371390882576;0,5383895083155645
3,8899999999999997;;7,644629186723019;6,9007699551235815;;0,5438436192838283;0,5362272724930803
3,9;;7,653143765356576;6,907161926811647;;0,5411624689212532;0,5340689467717908
3,91;;7,6615729535872035;6,91348915755011;;0,5384936415069286;0,5319145373663265
3,92;;7,669917403688981;6,919752178899594;;0,535837090595955;0,5297640507104182
