;x D4;x EP D4 NGD;x EP D4 AGD;y D4;y EP D4 NGD;y EP D4 AGD
0,0;1,5;1,5;1,5;5,0;5,0;5,0
0,01;;1,5057585530947681;1,5057585530947615;;4,9585022346635395;4,9585022347566
0,02;;1,5115392134787;1,5115392134786867;;4,917348882232664;4,917348882417239
0,03;;1,5173420660224608;1,5173420660224408;;4,876537084234185;4,876537084508751
0,04;;1,5231671959225377;1,523167195922511;;4,836064005918966;4,836064006282015
0,05;;1,5290146887024905;1,5290146887024572;;4,7959268360650205;4,795926836515067
0,06;;1,5348846302142065;1,534884630214166;;4,756122786782249;4,756122787317822
0,06999999999999999;;1,5407771066391611;1,5407771066391138;;4,716649093318793;4,716649093938442
0,08;;1,5466922044896843;1,5466922044896303;;4,677503013868999;4,6775030145712915
0,09;;1,5526300106102293;1,5526300106101685;;4,638681829382975;4,6386818301664965
0,1;;1,5585906121786492;1,5585906121785813;;4,600182843377728;4,600182844241082
0,11;;1,5645740967074746;1,5645740967073993;;4,562003381749867;4,5620033826916755
0,12;;1,5705805520452003;1,5705805520451182;;4,524140792589869;4,524140793608769
0,13;;1,5766100663775755;1,5766100663774862;;4,486592445997869;4,486592447092516
0,13999999999999999;;1,5826627282288963;1,5826627282287995;;4,449355733900998;4,449355735070065
0,15;;1,5887386264633074;1,5887386264632035;;4,4124280698722265;4,412428071114403
0,16;;1,5948378502861063;1,5948378502859946;;4,375806888950713;4,375806890264704
0,16999999999999998;;1,6009604892450517;1,6009604892449332;;4,339489647463645;4,339489648848173
0,18;;1,6071066332316812;1,6071066332315547;;4,303473822849556;4,30347382430336
0,19;;1,613276372482627;1,613276372482493;;4,2677569134831135;4,267756915004949
0,2;;1,6194697975809444;1,6194697975808028;;4,232336438501358;4,232336440089995
0,21;;1,6256869994574399;1,6256869994572907;;4,197209937631382;4,197209939285607
0,22;;1,6319280693920066;1,6319280693918496;;4,162374971019446;4,162374972738059
0,22999999999999998;;1,638193099014964;1,6381930990147995;;4,127829119061502;4,127829120843321
0,24;;1,6444821803084044;1,6444821803082323;;4,093569982235137;4,0935699840789965
0,25;2,15;1,6507954056075418;1,6507954056073617;4,166666667;4,059595180932903;4,059595182837649
0,26;;1,6571328676020687;1,6571328676018808;;4,025902355297028;4,025902357261522
0,27;;1,6634946593375166;1,6634946593373205;;3,992489165055504;3,9924891670786247
0,27999999999999997;;1,6698808742166222;1,669880874216418;;3,959353289359538;3,9593532914401757
0,29;;1,6762916060006985;1,6762916060004864;;3,926492426622341;3,9264924287594023
0,3;;1,6827269488110113;1,682726948810791;;3,8939042943592685;3,8939042965516735
0,31;;1,6891869971301616;1,6891869971299331;;3,8615866290292775;3,86158663127596
0,32;;1,6956718458034723;1,6956718458032354;;3,8295371858777036;3,829537188177612
0,33;;1,702181590040381;1,7021815900401358;;3,7977537387803433;3,797753741132439
0,33999999999999997;;1,7087163254158373;1,7087163254155837;;3,7662340800888296;3,7662340824920877
0,35000000000000003;;1,7152761478717067;1,7152761478714447;;3,734976020477289;3,7349760229306983
0,36;;1,7218611537181792;1,7218611537179085;;3,703977388790274;3,7039773912928373
0,37;;1,7284714396351823;1,7284714396349032;;3,6732360318919595;3,673236034442691
0,38;;1,735107102673802;1,7351071026735143;;3,6427498145165833;3,6427498171145114
0,38999999999999996;;1,7417682402577066;1,74176824025741;;3,6125166191201346;3,6125166217643008
0,4;;1,7484549501845765;1,748454950184271;;3,5825343457332726;3,5825343484227297
0,41000000000000003;;1,755167330627542;1,755167330627228;;3,552800911815463;3,5528009145492767
0,42;;1,7619054801366225;1,7619054801362997;;3,5233142521103273;3,523314254887577
0,43;;1,7686694976401758;1,7686694976398436;;3,494072318502191;3,4940723213219673
0,44;;1,7754594824463479;1,7754594824460068;;3,465073079873826;3,465073082735231
0,44999999999999996;;1,7822755342445324;1,7822755342441823;;3,4363145219653686;3,436314524867517
0,45999999999999996;;1,7891177531068347;1,7891177531064755;;3,4077946472344105;3,4077946501764296
0,47000000000000003;;1,7959862394895398;1,7959862394891717;;3,3795114747172548;3,3795114776982826
0,48;;1,8028810942345892;1,8028810942342113;;3,3514630398913168;3,351463042910503
0,49;;1,8098024185710582;1,809802418570671;;3,323647394538671;3,323647397595177
0,5;;1,816750314116646;1,816750314116249;;3,29606260661073;3,296062609703729
0,51;;1,8237248828791641;1,823724882878758;;3,268706760094048;3,268706763222722
0,52;;1,830726227258037;1,8307262272576215;;3,241577954877231;3,241577958040776
0,53;;1,8377544500458036;1,8377544500453786;;3,214674306618963;3,2146743098165853
0,54;;1,8448096544296275;1,8448096544291923;;3,1879939466171194;3,1879939498480336
0,5499999999999999;;1,8518919439928099;1,8518919439923653;;3,161535021678965;3,1615350249423995
0,5599999999999999;;1,8590014227163139;1,8590014227158593;;3,135295693992438;3,1352956972876305
0,5700000000000001;;1,8661381949802882;1,866138194979824;;3,109274140998495;3,1092741443246936
0,58;;1,8733023655656007;1,8733023655651264;;3,0834685552645196;3,0834685586209822
0,59;;1,8804940396553769;1,8804940396548926;;3,0578771443587756;3,05787714774477
0,6;;1,887713322836544;1,8877133228360496;;3,032498130725911;3,0324981341407167
0,61;;1,894960321101381;1,8949603211008763;;3,0073297515634874;3,007329755006393
0,62;;1,9022351408490752;1,9022351408485605;;2,98237025869954;2,9823702621698436
0,63;;1,909537888887284;1,909537888886759;;2,9576179184711493;2,957617921968159
0,64;;1,9168686724337034;1,9168686724331678;;2,9330710116040244;2,933071015127058
0,65;;1,9242275991176414;1,9242275991170956;;2,908727833093081;2,9087278366414653
0,66;;1,9316147769815997;1,9316147769810432;;2,8845866920840155;2,8845866956570876
0,67;;1,9390303144828578;1,9390303144822907;;2,8606459117558596;2,860645915352965
0,6799999999999999;;1,9464743204950676;1,9464743204944899;;2,836903829204511;2,8369038328250036
