;x D2;x EP AD NGD;x EP D2 AGD;y D2;y EP AD NGD;y EP D2 AGD
3,7199999999999998;;7,571270370923542;7,57127037328723;;0,26569832976494445;0,2657003554862048
3,73;;7,604291357201344;7,604291359581724;;0,2641020372281788;0,2641040561918733
3,74;;7,637456359672118;7,637456362069289;;0,26251533507862107;0,2625173472928292
3,75;7,969;7,670766006441379;7,670766008855443;0,7;0,26093816569805617;0,2609401711710041
3,7600000000000002;;7,704220928354049;7,704220930785105;;0,259370471814434;0,25937247055449275
3,7699999999999996;;7,7378217590063665;7,737821761454521;;0,2578121964997906;0,25781418851547383
3,7800000000000002;;7,771569134757933;7,7715691372232865;;0,2562632831681792;0,25626526846814146
3,7900000000000005;;7,805463694743715;7,805463697226372;;0,2547236755736177;0,2547256541666522
3,8;;7,839506080886183;7,8395060833862455;;0,25319331780804444;0,25319528970308103
3,81;;7,873696937907463;7,873696940425036;;0,25167215429928824;0,2516741195053918
3,82;;7,908036913341533;7,908036915876724;;0,2501601298090512;0,25016208833541925
3,83;;7,942526657546503;7,942526660099416;;0,24865718943090215;0,24865914128686303
3,84;;7,9771668237169155;7,977166826287659;;0,24716327858828302;0,2471652237832944
3,85;;8,01195806789614;8,011958070484816;;0,24567834303252684;0,24568028157617325
3,8600000000000003;;8,046901048988765;8,046901051595485;;0,2442023288408881;0,24420426074287954
3,8699999999999997;;8,081996428773104;8,081996431397977;;0,2427351824145846;0,24273710768475423
3,88;;8,117244871913726;8,117244874556858;;0,24127685047685044;0,24127876912515328
3,8899999999999997;;8,152647045974026;8,152647048635528;;0,23982728007100249;0,2398291921075131
3,9;;8,188203621428885;8,188203624108866;;0,2383864185585164;0,2383883239934274
3,91;;8,223915271677361;8,223915274375933;;0,23695421361711577;0,236956112460736
3,92;;8,25978267305544;8,259782675772712;;0,23553061323887187;0,23553250550162444
3,93;;8,295806504848853;8,295806507584938;;0,23411556572831488;0,2341174514207356
3,94;;8,331987449305934;8,331987452060943;;0,23270901970055713;0,23271089883329288
3,95;;8,368326191650542;8,368326194424592;;0,23131092407942666;0,2313127966632334
3,9600000000000004;;8,404823420095044;8,404823422888246;;0,22992122809561297;0,22992309414135437
3,9699999999999998;;8,441479825853333;8,441479828665804;;0,22853988128482325;0,22854174080346848
3,9800000000000004;;8,478296103153951;8,478296105985802;;0,22716683348594907;0,22716868648857202
3,9899999999999998;;8,515272949253193;8,515272952104539;;0,22580203483924682;0,2258038813370234
