;x D4;x CLV AD NGD;x CLV D4 AGD;y D4;y CLV AD NGD;y CLV D4 AGD
0,5;;2,1041982593531054;3,2088498172829283;;2,599736207206909;3,509686419692857
0,51;;2,117276334073831;3,249128154321866;;2,574587157894269;3,4856631927917636
0,52;;2,130402130618091;3,289598943957455;;2,549896923169973;3,461788021401136
0,53;;2,1435760338717067;3,3302585103240365;;2,525652692490614;3,4380581267418164
0,54;;2,1567984233734534;3,371103107972333;;2,501842126662839;3,4144708254160223
0,5499999999999999;;2,1700696735050014;3,4121289226726317;;2,478453336342332;3,391023526926984
0,5599999999999999;;2,183390153671795;3,4533320722670044;;2,4554748617001585;3,3677137312695566
0,5700000000000001;;2,1967602284753616;3,4947086075704394;;2,4328956531831487;3,344539026588562
0,58;;2,210180257877496;3,536254513320706;;2,4107050533001986;3,3214970869017715
0,59;;2,2236505973567575;3,5779657091767394;;2,388892779371203;3,2985856698845852
0,6;;2,2371715980576625;3,619838050765233;;2,367448907179745;3,275802614713635
0,61;;2,2507436069329643;3,6618673307751215;;2,3463638554747472;3,253145839966629
0,62;;2,2643669668793627;3,704049280099537;;2,3256283712700525;3,230613341575952
0,63;;2,2780420168669795;3,746379569024792;;2,3052335158944;3,2082031908336024
0,64;;2,2917690920629106;3,7888538084658734;;2,2851706517474497;3,1859135324452117
0,65;;2,3055485239491484;3,8314675512478753;;2,265431429720489;3,1637425826309786
0,66;;2,3193806404351522;3,8742162934327453;;2,24600777724321;3,1416886272714795
0,67;;2,3332657659653266;3,917095475690661;;2,226891886920478;3,1197500200964132
0,6799999999999999;;2,3472042216216535;3,960100484715292;;2,208076205725379;3,097925180914439
0,69;;2,3611963252217096;4,003226654682159;;2,1895534247170105;3,0762125938823655
0,7000000000000001;;2,3752423914122907;4,046469268749221;;2,1713164692535223;3,0546108058120502
0,7100000000000001;;2,389342731758845;4,089823560598811;;2,1533584896727707;3,033118424513431
0,72;;2,4034976548309164;4,133284716019927;;2,1356728524147224;3,011734117172227
0,73;;2,417707466283773;4,176847874529883;;2,1182531315613544;2,9904566087609084
0,74;;2,431972468936407;4,220508131034247;;2,1010931007713123;2,9692846804816146
0,75;2,578;2,446292962846063;4,264260537523952;2,666666667;2,084186725587986;2,9482171682397804
0,76;;2,460669245379451;4,308100104808392;;2,0675281561009853;2,9272529611472966
0,77;;2,4751016112807975;4,352021804283311;;2,0511117199422007;2,9063910000540947
0,7799999999999999;;2,489590352736867;4,396020569732192;;2,034931915598782;2,8856302761071273
